FolderName,CreationTime
S001-TUMAS,20240808
S002-SIYAHKALEM,20240808
S003-YILDIRIM,20240808
S004-TEMATEKNIK,20240808
S005-IMAR,20240808
S006-PROFYAPI,20240808
S007-PROFYAPI-BDUZU,20240808
S008-BEYLIKDUZU,20240808
S009-ISNAK,20240808
S010-ZON,20240808
S011-BEYLIKDUZU-2,20240808
S012-AKAD-BDUZU,20240808
S013-GIOSB,20240808
S014-SURYAPI,20240808
S015-AVRASYA,20240808
S016-USKUDAR ICADIYE,20240808
S017-SK-SEKAY,20240808
S018-BEYLIKDUZU-3-VADI,20240808
S019-GUNGOREN,20240808
S020-AYAMAMA,20240808
S021-TUMAS-UAV,20240808
S022-SIGMA-URFA,20240808
S023-MEGAPROJELER,20240808
S024-KUCUKCEKMECE,20240808
S025-HMG,20240808
S026-USKUDAR-UNCULAR,20240808
S027-ASKOOP,20240808
S028-VADITEPEALTYAPI,20240808
S029-CEKMECE-2020,20240808
S030-DM SINOP,20240808
S031-PROFBEYKOZ,20240808
S032-SAMSUN-RTE,20240808
S032-SAMSUN-TUNEL,20240808
S033-PROF-CEPHE,20240808
S034-UGUR HARITA-KM BAZLI,20240808
S035-SAMSUN KOPRULER,20240808
S036-VADITEPEYOL,20240808
S037-ALOSBI,20240808
S038-FIRUZKOY-UH,20240808
S039-RUZGARLIBAHCE CEPHE,20240808
S040-ALOSBI TIR PARKI,20240808
S041-ISTAC,20240808
S042-BEYLIKDUZU 2021,20240808
S043-AARTI KIPTAS,20240808
S044-BRSKOVO,20240808
S045-ASOY LIDA KIPTAS,20240808
S046-MAKINE IKMAL,20240808
S047-RONESANS KMO,20240808
S048-KIPTAS,20240808
S049-DENGE CERKEZKOY,20240808
S050-ISTAC EK,20240808
S051-SAMSUN SANAYI KOPRU,20240808
S051-USKUDAR BALIKCILAR,20240808
S052-AKIA,20240808
S053-IMAR DELIKLIKAYA,20240808
S054-IMAR YALOVA,20240808
S055-UMRANIYE KARAYOLU,20240808
S056-EMAY BEYLIKDUZU,20240808
S057-KASTAMONU OSB,20240808
S058-KVK KABLO,20240808
S059-YALOVA UYGULAMA,20240808
S060-KIPTAS GENEL,20240808
S061-UMRANIYE PKT,20240808
S062-TOBBUND,20240808
S063-4083P GUCLU SOZLESME,20240808
S064-EBRULI KONUTLARI,20240808
S065-BEYKOZ KENT ORMANI,20240808
S066-KORKUTELI,20240808
S067-RONESANS CEYHAN,20240808
S068-INVEST CENDERE,20240808
S069-TECHPARK SVISHTOV DOBRICH,20240808
S070-RISE ALA HATTI,20240808
S071-EBRULI GECICI SOZLESME,20240808
S072-MIRAN COMPANY,20240808
S073-OZKA 2132A 1P,20240808
S074-BEYLIKDUZU YAKUPLU,20240808
S075-TECHPARK AVAN PROJE,20240808
S076-MAKIS,20240808
S077-EBRULI BASAKSEHIR GOKTURK,20240808
S078-IMAR ISDEMIR,20240808
S079-TUPRAS KOPRULER,20240808
S080-ICA OTOYOL,20240808
S081-DENGE MARMARA OSB,20240808
S082-OZAK MALTEPE,20240808
S083-IBB VIRA ALTAS,20240808
S084-YALOVA AVRASYA 2023,20240808
S085-KUZU ADIYAMAN,20240808
S086-NEBIL CEKMEKOY,20240808
S087-UMRANIYE 2024 P1,20240808
S088-RESADIYE,20240808
S099-ASCE,20250123
S089-TUMAS DUDULLU,20240819
S090-MESA KARANFILKOY-2,20240823
S091-IMAR-FERAH CAD,20241007
S092-IMARAS MECIDIYEKOY,20241009
S093-IPA IBB ULASIM,20241009
S094-DEMIRMOTORS,20241021
S095-KIPTAS WE-HALIC UTK,20241021
S097-KOCAELI  C3D,20241211
S096-DOU YAPI VE INSAAT,20241203
S098-UMRANIYE 2024-P2,20241217
A001-ICA OTOYOL-ERTA,20250401
S100-SANIKI,20250123
S101-GIZ SUMP SII,20250130
S102-ICA LOJISTIK II,20250220
S103-INVEST BODRUM,20250319
S104-MESA ASL KARANFILKOY,20250321
S105-KUZU DURSUNKOY,20250328
S106-BS SISHANE,20250331
A002-SW TERSANE PARKLARI,20250401
A003-SW TERSANE YOLLARI K,20250401
A004-SASKO VIRA KAVSAGI,20250401
A005-SW VIRA KAVSAGI,20250401
A006-SASKO BAYRAMPASA,20250401
A008-CICEK IPA PLANKOTE,20250401
A009-CICEK USKUDAR PLANKOTE,20250401
S110-DEPOGLOBAL DELIKLIKAYA,20250428
A010-SW FERAH CADDESI,20250401
A011-KOPAL ASCE,20250401
S108-IMAR GURPINAR,20250401
A014-EMA SONDAJ,20250611
S107-IMAR KALAN ISLER,20250401
S113-UMRANIYE KAPAMA,20250605
S109-MME USKUDAR BALIKCILAR,20250408
S111-MAKROPOLI ZEKERIYAKOY,20250506
S112-KOCAELI OKUL YOLU,20250506
A012-CICEK KOCAELI PKT,20250516
S117-IMAR BUYUKDERE,20250826
S114-LIBCO BENGHAZI,20250611
A013-SW KOCAELI OKUL YOLU,20250611
S115-LIBCO BINGAZI PLANKOTE,20250630
A015-CICEK BINGAZI PLANKOTE,20250709
S116-UMRANIYE O4 OTOYOLU,20250826
A016-TMU SS MASLAK,20250915
S118-SPDO HASDAL,20250826
S120-SS MASLAK REVIZELER,20250826
S119-OZGUVEN GUNGOREN,20250826
A007-SW SVISHTOV DOBRICH,20250401
S121-KIPTAS PENDIK PROJELER,20250826
